"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"embroidery",17723,21637,122,2125420,"100","1","10",165000
"gifts",16153,16482,102,33137693,"100","1","5",450000
"anniversary gift",15161,15642,103,1692772,"100","3","16",49500
"decor",14329,16543,115,27231086,"100","1","5",33100
"handmade",13792,15771,114,5157929,"100","2","8",14800
"housewarming gift",13751,15534,113,1468837,"100","3","17",74000
"birthday gift",13441,14446,107,6286682,"100","3","13",49500
"mothers day gift",10301,10667,104,1873149,"100","1","16",673000
"heart",8513,12077,142,2084741,"100","2","5",1220000
"wood",8179,10869,133,2969313,"100","1","4",201000
"flowers",8067,10102,125,4805134,"100","1","7",1830000
"skull",7125,9229,130,712521,"100","1","5",301000
"office decor",6368,6493,102,3747670,"100","4","12",14800
"christmas gift",6098,6788,111,7614738,"100","2","14",90500
"custom gift",6023,5969,99,5827008,"100","1","11",60500
"canvas",5972,7691,129,5275341,"100","2","6",24900000
"monogram",5865,5367,92,740286,"100","1","8",60500
"valentines day",5057,6197,123,1709590,"100","1","14",1000000
"nursery decor",4476,4729,106,1692411,"100","2","13",6600
"artwork",4233,4506,106,1432448,"100","1","7",33100
"copper",4255,5291,124,716905,"100","1","6",165000
"anniversary",3826,3932,103,2371616,"100","2","11",246000
"resin",3764,4038,107,800548,"100","1","5",74000
"digital print",3698,3623,98,7705795,"100","2","13",8100
"metal sign",3430,3859,113,342838,"100","2","10",9900
"office",3348,3820,114,4417997,"100","1","6",450000
"gothic home decor",3351,3298,98,468689,"100","1","17",3600
"new mom gift",2846,2946,104,408462,"100","1","12",4400
"name sign",2663,3025,114,308810,"100","1","9",3600
"diy",2368,2543,107,2285747,"100","1","3",60500
"wool",2344,2863,122,582283,"100","1","4",40500
"birds",2239,2587,116,1041597,"100","1","5",550000
"unique gift",2109,2015,96,2960562,"100","1","11",40500
"cottagecore decor",1922,1959,102,427700,"100","1","17",2900
"memorial gift",1952,1910,98,516543,"100","1","13",6600
"boho decor",1897,2263,119,1108693,"100","1","10",6600
"glitter",1868,2420,130,903723,"100","2","7",60500
"custom embroidery",1711,1775,104,188070,"100","1","17",14800
"nautical decor",1720,1877,109,353648,"100","1","14",2900
"bar decor",1557,1784,115,616095,"100","1","9",2400
"coffee gifts",1472,1454,99,1649060,"100","2","12",5400
"gift for grandma",1486,1459,98,549864,"100","1","16",3600
"midcentury modern",1437,1664,116,187476,"100","1","17",110000
"unique gifts for her",1366,1418,104,759785,"100","1","20",1000
"stain glass",1296,1183,91,325014,"100","1","11",1000
"custom name sign",1241,1050,85,233285,"100","3","16",1600
"dog lover gift",1233,1294,105,795623,"100","2","14",5400
"interior design",1223,1430,117,137191,"100","3","15",90500
"man cave decor",1194,1113,93,399637,"100","1","14",3600
"mid century decor",1143,1172,103,486600,"100","3","17",1600
"unique",1030,1199,116,4185432,"100","1","6",246000
"kids room decor",1094,1104,101,1533664,"100","1","15",0
"metal",1086,1180,109,2318962,"100","1","5",135000
"custom name",918,698,76,1977505,"100","2","11",2900
"landscape",837,1081,129,1737642,"100","2","9",246000
"patio decor",875,812,93,391940,"100","1","11",5400
"personalized pet",888,1314,148,460504,"100","1","16",210
"ocean decor",804,707,88,494396,"100","1","11",1000
"coastal home decor",789,768,97,590999,"100","1","18",1900
"mosaics",698,693,99,184955,"100","1","7",165000
"personalized sign",662,614,93,537650,"100","2","17",1900
"christian gift",632,651,103,873608,"100","1","14",6600
"illustration",626,677,108,4617052,"100","1","12",49500
"vintage gifts",621,625,101,3850397,"100","1","13",1000
"holly",501,668,133,178115,"100","1","5",90500
"modern decor",547,563,103,1904467,"100","1","12",5400
"pink decor",513,497,97,2180543,"100","1","10",2900
"pet loss gift",505,522,103,134560,"100","1","13",5400
"retro poster",491,573,117,427783,"100","2","12",1900
"handmade paper",468,492,105,496509,"100","1","14",2900
"mountains",411,413,100,701946,"100","2","9",450000
"tropical",374,294,79,1211792,"100","2","8",74000
"bible verses",411,443,108,604739,"100","1","12",450000
"fantasy decor",398,379,95,591337,"100","1","13",480
"mlb",400,275,69,53403,"100","1","3","N/A"
"cardinals",416,459,110,115677,"100","1","9",823000
"oregon",368,398,108,74619,"100","1","6",450000
"woven",344,142,41,371953,"100","1","5",27100
"sunset",318,374,118,370921,"100","1","6",823000
"modern home decor",240,254,106,1775804,"100","2","17",8100
"motivation",279,406,146,786879,"100","1","10",110000
"gift for mother",259,379,146,2227201,"100","1","15","N/A"
"acrylic paint",254,0,0,142661,"100","1","13","N/A"
"home office decor",178,127,71,3669228,"100","2","17",2400
"gift for bird lover",221,228,103,139670,"100","1","19",3600
"gift for dog lover",199,163,82,791608,"100","1","18",590
"vintage lace",213,314,147,198383,"100","1","12","N/A"
"garage",229,301,131,228557,"100","1","6",1000000
"garage decor",118,111,94,180885,"100","2","12",1900
"gift for travelers",100,94,94,128167,"100","1","18",5400
"quill",102,64,63,47089,"100","1","5",368000
"brass decor",108,148,137,137971,"100","1","11","N/A"
"nola",101,139,138,33236,"100","1","4",135000
"handwriting gift",166,179,108,19626,"100","1","16",320
"flower stained glass",127,73,57,46299,"100","1","20","N/A"
"kitchen clock",135,102,76,27612,"100","1","13",4400
"beachy decor",100,93,93,43667,"100","1","12",4400
"victorian gothic",108,101,94,70868,"100","1","16",8100
"office gift",115,106,92,1904984,"100","1","11",2900
"skull decor",103,95,92,222677,"100","1","11",2400
"christian embroidery",113,116,103,24887,"100","1","20",140
"beach house",145,157,108,222993,"100","1","11",110000
"browns",104,100,96,3932050,"100","1","6","N/A"
"cat mom gift",149,160,107,228076,"100","1","12","N/A"
"living room",93,23,25,5947723,"100","2","11",135000
"seaside",96,0,0,102418,"100","1","7",110000
"custom paint",47,66,140,136886,"100","1","12",5400
"bohemian decor",38,19,50,698567,"100","1","14",2400
"paper quilling",50,64,128,39444,"100","1","14",9900
"framed",53,61,115,2008395,"100","1","6","N/A"
"craft room sign",44,26,59,54873,"100","1","15",140
"vintage sign",88,0,0,231655,"100","1","12","N/A"
"altar decor",55,70,127,76735,"100","1","11",170
"matching set",93,29,31,162646,"100","1","12",60500
"3d printed decor",52,64,123,200127,"100","1","16",590
"gift for home",93,53,57,12077809,"100","1","13","N/A"
"house rules print",3,0,0,2624,"100","2","17",70
"word poster",3,0,0,16868,"100","2","11","N/A"
"home dcor",1,0,0,1452,"100","2","9","N/A"
"reading corner decor",10,5,50,6706,"100","2","20","N/A"
"geometric decor",25,33,132,1004511,"100","2","15","N/A"
"egyptian decor",7,1,14,26262,"100","2","14","N/A"
"museum replica",2,0,0,2915,"100","2","14","N/A"
"pharaonic",1,0,0,1682,"100","2","9","N/A"
"vintage embroidery",5,1,20,214996,"100","2","18","N/A"
"mancave",8,1,13,35285,"100","2","7",33100
"3dprints",23,13,57,9956,"100","2","8",480
"bas relief",1,0,0,4910,"100","2","10","N/A"
"modern abstract",3,0,0,609270,"100","2","15","N/A"
"christian frames",2,0,0,3566,"100","1","16",110
"christian print",9,1,11,345575,"100","1","15",390
"family name clock",3,0,0,560,"100","1","17","N/A"
"round wood clock",2,0,0,2759,"100","1","16","N/A"
"spain gift",3,0,0,72265,"100","1","10","N/A"
"granada spain",1,0,0,1097,"100","1","13","N/A"
"encouraging quotes",1,0,0,24236,"100","1","18","N/A"
"inspirational poster",30,33,110,253620,"100","1","20","N/A"
"vintage style clock",1,0,0,4275,"100","1","19","N/A"
"cultural painting",1,0,0,5493,"100","1","17","N/A"
"marilyn",6,1,17,16862,"100","1","7",18100
"playful",5,0,0,231198,"100","1","7",12100
"custom airbrush",3,0,0,9145,"100","1","15","N/A"
"classical artwork",1,0,0,3629,"100","1","17","N/A"
"photography decor",2,0,0,904176,"100","1","17","N/A"
"studio decoration",1,0,0,11378,"100","1","17","N/A"
"silent clock",4,0,0,5212,"100","1","12","N/A"
"hobby gift",1,0,0,709357,"100","1","10","N/A"
"eid gift ideas",2,0,0,3317,"100","1","14","N/A"
"spiritual decor",8,1,13,276336,"100","1","15","N/A"
"stylish",1,0,0,586953,"100","1","7","N/A"
"pharaoh",2,0,0,9074,"100","1","7","N/A"
"nefertiti",3,0,0,3572,"100","1","9","N/A"
"quilled paper",2,0,0,39453,"100","1","13","N/A"
"decorative clock",2,0,0,4756,"100","1","16","N/A"
"fairy sign",2,0,0,9008,"100","1","10","N/A"
"handmade sign",20,27,135,90894,"100","1","13","N/A"
"glass decoration",17,5,29,161246,"100","1","16",1000
"unique clock",8,1,13,22957,"100","1","12",320
"quilting room sign",3,0,0,1294,"100","1","18","N/A"
"ecofriendly",1,0,0,511671,"100","1","11","N/A"
"picture framing",7,1,14,248884,"100","1","15","N/A"
"traditional",10,13,130,392787,"100","1","11","N/A"
"home decor ideas",5,0,0,910440,"100","1","16","N/A"
"one of a kind",5,1,20,411384,"100","1","13","N/A"
"witchy room decor",7,1,14,44159,"100","1","17",210
"vintage angel",2,0,0,130881,"100","1","13","N/A"
"cherub angel",1,0,0,20642,"100","1","12","N/A"
"fire station",3,0,0,4508,"100","1","12","N/A"
"fire rescue",6,3,50,7743,"100","1","11","N/A"
"teenager room decor",1,0,0,6444,"100","1","19","N/A"
"watercolor floral",6,1,17,383096,"100","1","17","N/A"
"pagan altar",8,0,0,25375,"100","1","11",1300
"3d mandala",6,1,17,18698,"100","1","10","N/A"
"unique artwork",13,6,46,142919,"100","1","14",2400
"dog quote print",1,0,0,11591,"100","1","15","N/A"
"dog home decor",21,26,124,666753,"100","1","14","N/A"
"botanical clock",3,0,0,892,"100","1","15","N/A"
"simple clock",1,0,0,825,"100","1","12",480
"allah calligraphy",3,0,0,5416,"100","1","17","N/A"
"coastal bathroom",4,0,0,129688,"100","1","16","N/A"
"wedding decor gift",1,0,0,714130,"100","1","18","N/A"
"stone plaque",4,0,0,7323,"100","1","12","N/A"
"museum decor",2,0,0,67693,"100","1","12",90
"hieroglyphics",2,0,0,2764,"100","1","13","N/A"
"outdoor living",3,0,0,1289040,"100","1","14","N/A"
"embroidered decor",2,0,0,142294,"100","1","17","N/A"
"blessing",5,1,20,88430,"100","1","8","N/A"
"blessings",3,1,33,89168,"100","1","9",110000
"stl cardinals",2,0,0,1303,"100","1","13","N/A"
"tempered glass clock",4,0,0,584,"100","1","20","N/A"
"home gift for couple",1,0,0,302731,"100","1","20","N/A"
"tattoo flash",14,1,7,17876,"100","1","12",8100
"traditional tattoo",3,0,0,14190,"100","1","18",49500
"old school tattoo",2,0,0,3994,"100","1","17",0
"tattoo decor",7,1,14,80554,"100","1","12","N/A"
"tattoo gift",1,0,0,53202,"100","1","11","N/A"
"custom fish sign",1,0,0,2946,"100","1","16","N/A"
"fish sign",2,0,0,13608,"100","1","9","N/A"
"koi fish pond",1,0,0,6076,"100","1","13","N/A"
"home accent decor",2,0,0,1117502,"100","1","17",70
"red dot",1,0,0,54617,"100","1","7","N/A"
"macrame sculpture",2,0,0,1089,"100","1","17","N/A"
"mount hood",6,1,17,2231,"100","1","10",110000
"alcohol inks",1,0,0,2741,"100","1","12","N/A"
"mixed media",6,0,0,258148,"100","1","11",8100
"desert decor",8,1,13,119485,"100","1","12",390
"standing stones",1,0,0,5581,"100","1","15","N/A"
"sea turtle canvas",1,0,0,6351,"100","1","17",50
"floral embroidery",14,6,43,216896,"100","1","17",1000
"religious embroidery",4,0,0,20885,"100","1","20",50
"jesus embroidery",3,0,0,17883,"100","1","16","N/A"
"unique baby gift",9,1,11,123064,"100","1","16",0
"childrens room",4,0,0,199926,"100","1","14",1000
"yoga studio decor",8,1,13,15429,"100","1","17",110
"lighthouse sign",3,0,0,1868,"100","1","15","N/A"
"ocean sign",1,0,0,20287,"100","1","10","N/A"
"sea life",6,1,17,134557,"100","1","8","N/A"
"kawaii decor",14,12,86,246152,"100","1","12",480
"handmade fused glass",1,0,0,19071,"100","1","20","N/A"
"nursery room",3,0,0,1230097,"100","1","12","N/A"
"embroidery portrait",1,0,0,15708,"100","1","19","N/A"
"art pop wall art",0,0,0,156162,"","1","16","N/A"
"accent wall art",0,0,0,126706,"","2","15",880
"ancient wall art",0,0,0,33634,"","2","16","N/A"
"egypt wall art",0,0,0,14002,"","2","14","N/A"
"spiritual wall art",0,0,0,166739,"","2","18",320
"brass wall art",0,0,0,10683,"","1","14",480
"wall statement art",0,0,0,0,"","1","18","N/A"
"linen wall art",0,0,0,13973,"","1","14",170
"angel wall art",0,0,0,71999,"","1","14",260
"sweet wall art",0,0,0,79195,"","1","14","N/A"
"pet wall art",0,0,0,391173,"","1","12",90
"amusing wall art",0,0,0,1261,"","1","16","N/A"
"divine wall art",0,0,0,31774,"","1","15","N/A"
"statement wall art",0,0,0,43802,"","1","18",210
"mask wall art",0,0,0,34162,"","1","13","N/A"
"shop wall art",0,0,0,94078,"","1","13","N/A"
"shell wall art",0,0,0,32503,"","1","14",1900
"elegant wall art",0,0,0,188862,"","1","16","N/A"
"wall hangings",0,0,0,12848998,"","3","13",9900
"wall dcor",0,0,0,978,"","2","9","N/A"
"wall hanging",0,0,0,631413,"","2","12",9900
"wall decoration",0,0,0,768565,"","1","15",49500
"wall cherub",0,0,0,5469,"","1","11","N/A"
"contemporary wall",0,0,0,780245,"","1","17","N/A"
"geode resin wall art",0,0,0,2191,"","2","20","N/A"
"mount ready wall art",0,0,0,0,"","1","20","N/A"
"pink cookie wall art",0,0,0,0,"","1","20","N/A"
"pop art wall decor",0,0,0,162958,"","1","18",110
"wooden art",0,0,0,299955,"","3","10",5400
"moder art",0,0,0,41812,"","2","9","N/A"
"lighthearted art",0,0,0,0,"","2","16","N/A"
"pharaonic art",0,0,0,0,"","2","13","N/A"
"native art",0,0,0,84735,"","1","10",1900
"geometric art",0,0,0,1141393,"","1","13",6600
"metal art",0,0,0,636872,"","1","9",9900
"gold art",0,0,0,1328913,"","1","8","N/A"
"figurine art",0,0,0,765330,"","1","12","N/A"
"art object",0,0,0,176856,"","1","10","N/A"
"hero art",0,0,0,46617,"","1","8","N/A"
"tequila art",0,0,0,9939,"","1","11","N/A"
"mamazuristyle art",0,0,0,0,"","1","17","N/A"
"insipiration art",0,0,0,0,"","1","16","N/A"
"crafty art",0,0,0,10557,"","1","10","N/A"
"collage art",0,0,0,2322872,"","1","11",14800
"bedroom art",0,0,0,3964007,"","1","11",2900
"ocean art",0,0,0,470399,"","1","9",4400
"resin art",0,0,0,198667,"","1","9",12100
"sprinkle art",0,0,0,16183,"","1","12","N/A"
"5 set of wall art",0,0,0,0,"","1","17","N/A"
"metal wall clock",0,0,0,5430,"","4","16","N/A"
"modern wall decor",0,0,0,1428535,"","3","17",2900
"original wall decor",0,0,0,685542,"","2","19","N/A"
"pink wall decor",0,0,0,1284135,"","2","15",1300
"modern wall clock",0,0,0,13998,"","2","17",6600
"glass wall hanging",0,0,0,28755,"","2","18",140
"tooth wall clock",0,0,0,53,"","1","16","N/A"
"playful wall decor",0,0,0,59293,"","1","18","N/A"
"serbian wall decor",0,0,0,943,"","1","18","N/A"
"eclectic wall clock",0,0,0,0,"","1","19","N/A"
"zodiac wall clock",0,0,0,353,"","1","17","N/A"
"acrylic wall clock",0,0,0,5105,"","1","18",90
"seasonal wall clock",0,0,0,305,"","1","19","N/A"
"timeless wall clock",0,0,0,917,"","1","19","N/A"
"rustic wall clock",0,0,0,6100,"","1","17",1000
"digital print wall",0,0,0,6559585,"","1","18","N/A"
"african wall decor",0,0,0,143550,"","1","18",390
"boho wall decor",0,0,0,706188,"","1","15",4400
"blue wall flower",0,0,0,196354,"","1","16","N/A"
"wall christmas angel",0,0,0,0,"","1","20","N/A"
"8x10 canvas wall",0,0,0,0,"","1","16","N/A"
"mini wall sculpture",0,0,0,0,"","1","19","N/A"
"pet wall decor",0,0,0,399605,"","1","14",30
"comical wall clock",0,0,0,0,"","1","18","N/A"
"banana wall decor",0,0,0,10666,"","1","17","N/A"
"candy wall hanging",0,0,0,0,"","1","18","N/A"
"mosaic wall hanging",0,0,0,6664,"","1","19",50
"marbled wall clock",0,0,0,86,"","1","18","N/A"
"fish wall decor",0,0,0,98846,"","1","15",1300
"sacred wall decor",0,0,0,46306,"","1","17","N/A"
"glass wall panel",0,0,0,19535,"","1","16","N/A"
"fused glass wall",0,0,0,7114,"","1","16","N/A"
"artistic wall decor",0,0,0,90836,"","1","19","N/A"
"macrame wall decor",0,0,0,25204,"","1","18",720
"tool wall clock",0,0,0,0,"","1","15","N/A"
"turtle wall picture",0,0,0,861,"","1","19","N/A"
"chic wall accessory",0,0,0,2314,"","1","19","N/A"
"wall clock gift",0,0,0,35773,"","1","15","N/A"
"arabic wall hanging",0,0,0,1206,"","1","19","N/A"
"premium wall panel",0,0,0,0,"","1","18","N/A"
"geode resin art",0,0,0,4480,"","2","15","N/A"
"flower samurai art",0,0,0,0,"","2","18","N/A"
"ancient bird art",0,0,0,0,"","2","16","N/A"
"unique art design",0,0,0,265644,"","2","17","N/A"
"mixed media art",0,0,0,214498,"","2","15",9900
"fused glass art",0,0,0,30312,"","2","15",2900
"metal glass art",0,0,0,26540,"","2","15","N/A"
"minimalist home art",0,0,0,1070717,"","2","19","N/A"
"classic art gift",0,0,0,114602,"","1","16","N/A"
"museum style art",0,0,0,3992,"","1","16","N/A"
"art lovers gift",0,0,0,360265,"","1","15","N/A"
"todd lynd art",0,0,0,0,"","1","13","N/A"
"recycled plastic art",0,0,0,3680,"","1","20","N/A"
"heart art object",0,0,0,3045,"","1","16","N/A"
"handmade canvas art",0,0,0,58687,"","1","19","N/A"
"resin cookie art",0,0,0,0,"","1","16","N/A"
"faux food art",0,0,0,2646,"","1","13","N/A"
"handmade resin art",0,0,0,32001,"","1","18","N/A"
"cute pop art",0,0,0,17868,"","1","12","N/A"
"oriental art set",0,0,0,2275,"","1","16","N/A"
"cayey tequila art",0,0,0,0,"","1","17","N/A"
"broken glass art",0,0,0,2883,"","1","16","N/A"
"printable dog art",0,0,0,76603,"","1","17","N/A"
"pet art print",0,0,0,285840,"","1","13",10
"minimalist dog art",0,0,0,22372,"","1","18","N/A"
"living room art",0,0,0,4504927,"","1","15",9900
"pink banana art",0,0,0,0,"","1","15","N/A"
"pop art banana",0,0,0,838,"","1","14",210
"handmade pop art",0,0,0,9010,"","1","16","N/A"
"playful art decor",0,0,0,0,"","1","17","N/A"
"modern kitsch art",0,0,0,0,"","1","17","N/A"
"pop art popsicle",0,0,0,0,"","1","16","N/A"
"visual art objects",0,0,0,0,"","1","18","N/A"
"retro candy art",0,0,0,8790,"","1","15","N/A"
"art about women",0,0,0,2856,"","1","15","N/A"
"flash sheet art",0,0,0,2171,"","1","15","N/A"
"comedy mask art",0,0,0,469,"","1","15","N/A"
"macrame ocean art",0,0,0,0,"","1","17","N/A"
"resin canvas art",0,0,0,7673,"","1","16","N/A"
"japanese art gift",0,0,0,77217,"","1","17","N/A"
"stained glass art",0,0,0,227429,"","1","17",9900
"yellow popsicle art",0,0,0,0,"","1","19","N/A"
"eclectic kitchen art",0,0,0,185357,"","1","20",0
"blooming flowers art",0,0,0,14971,"","1","20","N/A"
"fried egg wall clock",0,0,0,0,"","1","20","N/A"
"blue mountain wall a",0,0,0,0,"","1","20","N/A"
"13 inch angel art",0,0,0,0,"","1","17","N/A"
"ocean sea turtle art",0,0,0,15391,"","1","20","N/A"
"zen torii metal art",0,0,0,0,"","1","19","N/A"
"living room decor",0,0,0,5645362,"","4","17",14800
"house decor",0,0,0,867931,"","3","11",9900
"beach",0,0,0,2168378,"","3","5",1000000
"muslim home gift",0,0,0,22272,"","3","16","N/A"
"bed and breakfast",0,0,0,6134,"","3","17","N/A"
"boho bohemian",0,0,0,531581,"","3","13","N/A"
"custom handmade",0,0,0,529036,"","3","15","N/A"
"studio decor",0,0,0,164569,"","3","12","N/A"
"laser engraving",0,0,0,227719,"","3","15",8100
"rules of life",0,0,0,3786,"","2","13","N/A"
"rules print",0,0,0,19382,"","2","11","N/A"
"floral home decor",0,0,0,1747397,"","2","17","N/A"
"glass",0,0,0,3420634,"","2","5",550000
"resin painting",0,0,0,37279,"","2","14","N/A"
"home living",0,0,0,25738343,"","2","11","N/A"
"floral design clock",0,0,0,1509,"","2","19","N/A"
"japanese bird decor",0,0,0,10363,"","2","19","N/A"
"bird metal sign",0,0,0,4462,"","2","15","N/A"
"garden area decor",0,0,0,0,"","2","17","N/A"
"magical bird decor",0,0,0,1590,"","2","18","N/A"
"abstract bird sign",0,0,0,0,"","2","18","N/A"
"humorous clock",0,0,0,0,"","2","14","N/A"
"funny home decor",0,0,0,1395487,"","2","16",1000
"vintage home decor",0,0,0,4385603,"","2","18",5400
"vintage style",0,0,0,1387480,"","2","13","N/A"
"reclaimed wood",0,0,0,53055,"","2","14",8100
"corporate decor",0,0,0,17355,"","2","15","N/A"
"orange and blues",0,0,0,2366,"","2","16","N/A"
"dorm room decor",0,0,0,1495254,"","2","15",5400
"gifts for her",0,0,0,5405483,"","2","13",33100
"wedding",0,0,0,5183896,"","2","7",165000
"whimsy fairy",0,0,0,4542,"","2","12","N/A"
"statement piece",0,0,0,78254,"","2","15",1900
"dark romantic",0,0,0,25680,"","2","13","N/A"
"personalized",0,0,0,6968219,"","2","12",40500
"ceramic popsicle",0,0,0,169,"","2","16","N/A"
"antiquities",0,0,0,3012,"","2","11","N/A"
"traditional egyptian",0,0,0,461,"","2","20","N/A"
"egyptian relief",0,0,0,433,"","2","15","N/A"
"arabic calligraphy",0,0,0,23628,"","2","18",8100
"fused stained glass",0,0,0,6950,"","2","19","N/A"
"metal fused glass",0,0,0,0,"","2","17","N/A"
"weaving",0,0,0,320214,"","2","7",110000
"tree decorations",0,0,0,336707,"","2","16","N/A"
"a4 frame black",0,0,0,2178,"","1","14","N/A"
"what god cannot do",0,0,0,55,"","1","18","N/A"
"does not exist",0,0,0,494868,"","1","14","N/A"
"scripture  quote",0,0,0,66104,"","1","16","N/A"
"dining decor",0,0,0,3945986,"","1","12","N/A"
"bible verse framed",0,0,0,13307,"","1","18","N/A"
"personalized clock",0,0,0,12853,"","1","18",720
"custom home decor",0,0,0,2699847,"","1","17",1000
"home decor gift",0,0,0,8722181,"","1","15","N/A"
"blossom clock",0,0,0,0,"","1","13","N/A"
"kerala kadhakali",0,0,0,0,"","1","16","N/A"
"handmade kadhakali",0,0,0,0,"","1","18","N/A"
"onam gift",0,0,0,45,"","1","9","N/A"
"kerala gift",0,0,0,631,"","1","11","N/A"
"dental clinic decor",0,0,0,1908,"","1","19","N/A"
"dental clinic clock",0,0,0,0,"","1","19","N/A"
"nature themed clock",0,0,0,170,"","1","19","N/A"
"artisan clock design",0,0,0,0,"","1","20","N/A"
"nature lovers gift",0,0,0,136918,"","1","18","N/A"
"granada clock",0,0,0,0,"","1","13","N/A"
"timepiece",0,0,0,10301,"","1","9","N/A"
"growth mindset",0,0,0,37435,"","1","14",40500
"positivity wallart",0,0,0,1283,"","1","18","N/A"
"motivational word",0,0,0,10356,"","1","17","N/A"
"motivational poster",0,0,0,130657,"","1","19",9900
"entrepeneurs",0,0,0,602,"","1","12","N/A"
"motivating wallart",0,0,0,0,"","1","18","N/A"
"owl decor clock",0,0,0,0,"","1","15","N/A"
"quirky home accents",0,0,0,0,"","1","19","N/A"
"funny owl clock",0,0,0,0,"","1","15","N/A"
"ecofriendly clock",0,0,0,406,"","1","17","N/A"
"kosovkadevojka",0,0,0,0,"","1","14","N/A"
"historical artwork",0,0,0,10342,"","1","18",2900
"european realism",0,0,0,127,"","1","16","N/A"
"heritage decor",0,0,0,60410,"","1","14","N/A"
"serbian culture",0,0,0,79,"","1","15","N/A"
"traditional ar",0,0,0,105,"","1","14","N/A"
"arts",0,0,0,4701919,"","1","4",450000
"monroe",0,0,0,18174,"","1","6","N/A"
"hollywood",0,0,0,139255,"","1","9",301000
"movie star",0,0,0,37271,"","1","10","N/A"
"low rider style",0,0,0,0,"","1","15","N/A"
"custom skate deck",0,0,0,500,"","1","17","N/A"
"shop decor",0,0,0,167570,"","1","10","N/A"
"metal flake skate",0,0,0,0,"","1","17","N/A"
"metal flake decor",0,0,0,0,"","1","17","N/A"
"lowrider decor",1,0,0,0,"","1","14","N/A"
"airbrush painted",0,0,0,11416,"","1","16","N/A"
"motorcycle painted",0,0,0,1347,"","1","18","N/A"
"playful room decor",0,0,0,27439,"","1","18","N/A"
"alphonse mucha decor",0,0,0,3037,"","1","20","N/A"
"la plume zodiac",0,0,0,58,"","1","15","N/A"
"famous poster print",0,0,0,32611,"","1","19","N/A"
"retro camera",0,0,0,11569,"","1","12","N/A"
"videographer gift",0,0,0,1292,"","1","17","N/A"
"camera lover",0,0,0,5706,"","1","12","N/A"
"kufic calligraphy",0,0,0,586,"","1","17","N/A"
"kufic metal sign",0,0,0,0,"","1","16","N/A"
"islamic home decor",0,0,0,46799,"","1","18",590
"clock",0,0,0,130154,"","1","5",1220000
"unique piece",0,0,0,95151,"","1","12","N/A"
"paper",0,0,0,16337710,"","1","5",201000
"wooden clock",0,0,0,7621,"","1","12",2900
"3d laser cut clock",3,0,0,0,"","1","18","N/A"
"laser engraved clock",0,0,0,1487,"","1","20","N/A"
"gift housewarming",0,0,0,1376266,"","1","17","N/A"
"unique clock gift",0,0,0,18257,"","1","17","N/A"
"seasonal home decor",0,0,0,2481410,"","1","19","N/A"
"kid room decor",0,0,0,1533931,"","1","14","N/A"
"gold birds",0,0,0,53175,"","1","10","N/A"
"floating birds",0,0,0,421,"","1","14","N/A"
"new orleans",0,0,0,74411,"","1","11",550000
"jazz",0,0,0,53634,"","1","4",301000
"vintage",0,0,0,16836528,"","1","7",246000
"second line",0,0,0,1359,"","1","11","N/A"
"funky clock",0,0,0,638,"","1","11",170
"circle shaped clock",0,0,0,0,"","1","19","N/A"
"sewing room decor",0,0,0,31588,"","1","17",320
"sewing room sign",0,0,0,2360,"","1","16","N/A"
"family name sign",0,0,0,68462,"","1","16",2400
"boho home decor",0,0,0,993844,"","1","15",2400
"boho chic style",0,0,0,58046,"","1","15","N/A"
"mamazuristyle decor",0,0,0,0,"","1","19","N/A"
"summer home decor",0,0,0,583156,"","1","17",590
"handwritten note",0,0,0,9244,"","1","16","N/A"
"embroidered note",0,0,0,1402,"","1","16",170
"keepsake frame",0,0,0,16855,"","1","14","N/A"
"gift for mom",0,0,0,3484179,"","1","12",110000
"gift for dad",0,0,0,1560860,"","1","12",90500
"wedding vow gift",0,0,0,12599,"","1","16","N/A"
"love note gift",0,0,0,19082,"","1","14","N/A"
"signature gift",0,0,0,32193,"","1","14","N/A"
"stained glass decor",0,0,0,176452,"","1","19","N/A"
"craft frame",0,0,0,345001,"","1","11","N/A"
"portraits",0,0,0,1459099,"","1","9",110000
"made to order",0,0,0,161876,"","1","13",2900
"modern",0,0,0,3152640,"","1","6",60500
"custom cut",0,0,0,155148,"","1","10","N/A"
"framed posters",0,0,0,353120,"","1","14",40500
"cute sheep decor",0,0,0,4741,"","1","16","N/A"
"baby shower gift",0,0,0,1391561,"","1","16",0
"childrens decor",0,0,0,485432,"","1","15","N/A"
"relief sculpture",0,0,0,6336,"","1","16","N/A"
"gift heart",0,0,0,1063156,"","1","10","N/A"
"modern iron clock",0,0,0,0,"","1","17","N/A"
"black sun clock",0,0,0,0,"","1","15","N/A"
"christmas ornament",0,0,0,2050300,"","1","18",110000
"plaster cherub",0,0,0,340,"","1","14","N/A"
"angel with lute",0,0,0,439,"","1","15","N/A"
"fireman sign",0,0,0,2991,"","1","12","N/A"
"duty decor",0,0,0,0,"","1","10","N/A"
"metal decor",0,0,0,784057,"","1","11","N/A"
"mixed media flower",0,0,0,31461,"","1","18","N/A"
"blue flower artwork",0,0,0,26069,"","1","19","N/A"
"handmade gift",0,0,0,2462067,"","1","13",60500
"unique floral canvas",0,0,0,12355,"","1","20","N/A"
"occult decor",0,0,0,36804,"","1","12",110
